SchoolName, SchoolAbbrev, Year, Enrolled, City, State, Country, SDNRank, ResTuition, NonResTuition, AvgMCAT, AvgGPA, Type
Kansas City University of Medicine and Biosciences College of Osteopathic Medicine,kcumb,1916,264,Kansas City,MO,USA,3,43288,43288,26.0,3.6,Osteopathic
University of Manitoba Faculty of Health Sciences College of Medicine,umanitoba,1877,96,Winnipeg,MB,Canada,3,8592,23847,33.0,,Allopathic
University of Montreal Faculty of Medicine,uom-fom,,,Montreal,QC,Canada,,,,,,Allopathic
Florida Atlantic University Charles E. Schmidt College of Medicine,fau-com,1998,64,Boca Raton,FL,USA,3,28111,62532,33.3,3.7,Allopathic
New York Institute of Technology College of Osteopathic Medicine ,nycom,1977,279,Old Westbury,NY,USA,3,54000,54000,28.0,3.6,Osteopathic
Nova Southeastern University College of Osteopathic Medicine,nsu-com,1979,230,Fort Lauderdale,FL,USA,3,47195,51698,28.0,3.4,Osteopathic
Oakland University William Beaumont School of Medicine,oakland,2008,84,Rochester,MI,USA,3,50023,50023,30.0,3.8,Allopathic
University of New England College of Osteopathic Medicine,unecom,1978,124,Biddeford,ME,USA,3,52690,52690,27.0,3.5,Osteopathic
University of North Texas Health Science Center Texas College of Osteopathic Medicine,unthsctcom,1970,230,Fort Worth,TX,USA,3,13079,28766,28.0,3.6,Osteopathic
West Virginia School of Osteopathic Medicine,wvsom,1974,200,Lewisburg,WV,USA,3,20450,50200,25.0,3.4,Osteopathic
LMU DeBusk College of Osteopathic Medicine,lmu-dcom,2007,225,Harrogate,TN,USA,3,46348,46348,27.0,3.3,Osteopathic
Philadelphia College of Osteopathic Medicine,pcom-georgia,2005,,Suwanee,GA,USA,3,46620,46620,28.0,3.5,Osteopathic
Albert Einstein College of Medicine of Yeshiva University,aecom,1955,183,Bronx,NY,USA,3,53149,53149,,3.8,Allopathic
Ben-Gurion University - Medical School for International Health,msih,1969,35,New York,NY,USA,3,35300,35300,28.0,3.5,Allopathic
